time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
4.4,-0.088266667,-0.175777778,-0.101866667,-0.351296296,-0.121533333,-0.490185185,-0.1496,-0.497,-0.102733333,-0.912444444
4.45,-0.093,-0.000962963,-0.1148,-0.139481482,-0.1408,-0.233518519,-0.167933333,-0.186888889,-0.144866667,-0.664592593
4.5,-0.0884,0.174,-0.1162,0.082925926,-0.145733333,0.044296296,-0.168933333,0.139148148,-0.171733333,-0.353074074
4.55,-0.0748,0.329518519,-0.106133333,0.295703704,-0.136066667,0.314740741,-0.1532,0.445925926,-0.181333333,-0.011407407
4.6,-0.054066667,0.450444444,-0.0854,0.477296296,-0.112866667,0.550555556,-0.122466667,0.705481481,-0.1728,0.328148148
4.65,-0.027933333,0.525481481,-0.0564,0.609037037,-0.078733333,0.729148148,-0.0798,0.892962963,-0.147133333,0.632259259
4.7,0.000666667,0.546185185,-0.022,0.678444444,-0.037,0.833481481,-0.029533333,0.989444444,-0.106866667,0.869259259
4.75,0.0288,0.513185185,0.014133333,0.680074074,0.008,0.853185185,0.023133333,0.985962963,-0.0566,1.01637037
4.8,0.054066667,0.428444444,0.048666667,0.614518518,0.051733333,0.787444444,0.073,0.883740741,-0.001266667,1.062592593
4.85,0.073333333,0.301518519,0.078066667,0.487185185,0.0898,0.644703704,0.115,0.694074074,0.053933333,1.001740741
4.9,0.085266667,0.147111111,0.099333333,0.311222222,0.118666667,0.439444444,0.145066667,0.437444444,0.103066667,0.838185185
4.95,0.088666667,-0.022259259,0.110333333,0.106074074,0.135466667,0.191148148,0.160333333,0.140259259,0.140933333,0.593888889
5,0.083,-0.18962963,0.110333333,-0.108555556,0.138666667,-0.077407407,0.1596,-0.169074074,0.164666667,0.293666667
5.05,0.0688,-0.335259259,0.098933333,-0.309740741,0.1272,-0.333888889,0.142733333,-0.460148148,0.171333333,-0.032666667
5.1,0.048,-0.444592593,0.078,-0.477296296,0.1036,-0.550481481,0.111466667,-0.699740741,0.161133333,-0.352444444
5.15,0.0226,-0.509518519,0.049266667,-0.596148148,0.070066667,-0.712851852,0.069866667,-0.866962963,0.134733333,-0.63662963
